,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-12,2024-09-30,--,$-0.10
1,2024-08-12,2024-06-30,$0.08,$0.10
2,2024-05-13,2024-03-31,--,$-0.14
3,2024-03-25,2023-12-31,--,$-2.12
4,2023-11-13,2023-09-30,--,$0.04
5,2023-08-09,2023-06-30,--,$0.02
6,2023-05-15,2023-03-31,--,$0.03
7,2023-03-20,2022-12-31,--,$-0.02
8,2022-11-14,2022-09-30,--,$0.04
9,2022-08-10,2022-06-30,--,$0.02
10,2022-05-09,2022-03-31,--,$0.08
11,2022-03-16,2021-12-31,--,$-0.23
12,2021-11-04,2021-09-30,--,$-0.08
13,2021-08-09,2021-06-30,--,$0.05
14,2021-05-07,2021-03-31,--,$0.01
15,2021-03-18,2020-12-31,$0.05,$0.12
16,2020-11-16,2020-09-30,$0.06,$0.07
17,2020-08-05,2020-06-30,$-0.48,$0.05
18,2020-05-06,2020-03-31,$0.11,$0.28
19,2020-03-11,2019-12-31,--,$0.15
20,2019-11-07,2019-09-30,$-0.26,$-0.02
21,2019-08-09,2019-06-30,--,$0.22
22,2019-05-10,2019-03-31,--,$-0.12
23,2019-03-14,2018-12-31,--,$-0.73
24,2018-11-08,2018-09-30,$-0.55,$-0.56
25,2018-08-10,2018-06-30,$0.09,$-0.24
26,2018-05-10,2018-03-31,$0.06,$0.08
27,2018-03-14,2017-12-31,--,$-0.13
28,2017-11-06,2017-09-30,$-0.03,$-0.18
29,2017-08-08,2017-06-30,$-0.20,$-0.16
30,2017-05-09,2017-03-31,$-0.23,$-0.39
31,2017-03-14,2016-12-31,$-0.34,$-0.96
32,2016-11-01,2016-09-30,--,$-1.88
33,2016-08-03,2016-06-30,--,$-0.37
34,2016-05-05,2016-03-31,--,$0.00
35,2016-03-02,2015-12-31,--,$-0.27
36,2015-10-29,2015-09-30,--,$-0.14
37,2015-07-30,2015-06-30,--,$-0.05
38,2015-05-05,2015-03-31,--,$0.01
39,2015-02-26,2014-12-31,--,$0.08
