,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-29,2024-09-30,$0.47,$0.58
1,2024-07-31,2024-06-30,$1.00,$1.09
2,2024-05-08,2024-03-31,$0.63,$0.73
3,2024-02-21,2023-12-31,$0.74,$0.80
4,2023-11-01,2023-09-30,$0.42,$0.39
5,2023-08-02,2023-06-30,$0.81,$0.88
6,2023-05-10,2023-03-31,$0.59,$0.61
7,2023-02-22,2022-12-31,$0.56,$0.56
8,2022-11-01,2022-09-30,$0.28,$-0.03
9,2022-07-27,2022-06-30,$0.78,$0.52
10,2022-04-27,2022-03-31,$0.50,$0.47
11,2022-02-16,2021-12-31,$0.59,$0.49
12,2021-11-03,2021-09-30,$0.70,$0.65
13,2021-07-27,2021-06-30,$0.75,$0.80
14,2021-04-28,2021-03-31,$-0.15,$0.20
15,2021-02-17,2020-12-31,$-0.09,$-0.32
16,2020-10-29,2020-09-30,$-0.51,$-0.33
17,2020-07-29,2020-06-30,$-1.07,$-0.87
18,2020-05-05,2020-03-31,$-0.46,$0.04
19,2020-02-19,2019-12-31,$0.61,$0.58
20,2019-10-29,2019-09-30,$0.54,$0.59
21,2019-07-31,2019-06-30,$0.81,$0.82
22,2019-05-01,2019-03-31,$0.60,$0.62
23,2019-02-20,2018-12-31,$0.61,$0.60
24,2018-10-30,2018-09-30,$0.58,$0.62
25,2018-07-31,2018-06-30,$0.81,$0.65
26,2018-04-25,2018-03-31,$0.68,$0.56
27,2018-02-21,2017-12-31,$0.53,$0.53
28,2017-11-01,2017-09-30,$0.60,$0.56
29,2017-08-02,2017-06-30,$0.76,$0.78
30,2017-05-03,2017-03-31,$0.73,$0.72
31,2017-02-22,2016-12-31,$0.67,$0.67
32,2016-10-26,2016-09-30,$0.61,$0.70
33,2016-07-27,2016-06-30,$0.70,$0.78
34,2016-04-27,2016-03-31,$0.60,$0.68
35,2016-02-16,2015-12-31,$0.52,$0.54
36,2015-10-26,2015-09-30,$0.56,$0.59
37,2015-07-22,2015-06-30,$0.62,$0.69
38,2015-04-22,2015-03-31,$0.49,$0.56
39,2015-02-11,2014-12-31,$0.60,$0.48
